land_use,point,depth,cumC,13Cnew,14Cnew,cumC2,14Cnew_CO2,BD
forest,FP1,10,2718.576,-29.08813505,105.1333313,2718.576,70.2,1.1346
forest,FP1,20,3674.200707,-28.46631639,83.27265974,3674.200707,,1.1565
forest,FP1,50,4353.700903,-27.9024892,50.47342514,5988.825805,30.94317274,1.2798
forest,FP3,10,2296.71838,-28.12119985,121.6148199,2296.71838,82.4,1.4094
forest,FP3,20,3290.504484,-27.72493776,86.39919699,3290.504484,,1.5913
forest,FP3,50,5648.026714,-26.62949173,6.458691158,8999.335049,3.704392405,1.6769
forest,FP4,10,3525.729535,-28.554223,104.3414093,3525.729535,61.6,1.0366
forest,FP4,20,5570.618666,-28.18531205,95.13390386,5570.618666,,1.3098
forest,FP4,50,6554.168718,-27.69761471,67.09910511,9582.607901,28.24480352,1.3594
forest,FP7,10,2612.14942,-27.8260249,99.98687223,2612.14942,81,1.2069
forest,FP7,20,4140.498642,-26.72834233,50.8852523,4140.498642,,1.4076
forest,FP7,50,4820.872097,-26.28090147,25.9163342,7029.594774,39.18952072,1.5843
soy,S03P1,10,519.7576163,-24.5,61,519.7576163,-14.2,1.5676
soy,S03P1,20,1788.385634,-24.6418741,30.00050899,1788.385634,,1.5203
soy,S03P1,50,2570.448001,-24.38573274,-20.07942398,4621.138385,-25.53804023,1.4304
soy,S07P2,10,768.2934695,-23.8,102.3,768.2934695,-95.6,1.3144
soy,S07P2,20,2523.286007,-24.49551867,67.17630697,2523.286007,,1.7594
soy,S07P2,50,4469.738388,-24.27973345,2.56236518,8171.183306,-50.44294925,1.6914
soy,S08P3,10,1785.248829,-22.2,57.8,1785.248829,-24,1.3607
soy,S08P3,20,2715.698855,-22.6111428,-6.064181586,2715.698855,,1.545
soy,S08P3,50,3421.839622,-22.71202479,-37.60382515,5058.430414,-22.28229216,1.4378
soy,S08P5,10,3119.2576,-22.2,88.6,3119.2576,11.3,1.5993
soy,S08P5,20,5392.69422,-22.790208,90.62357028,5392.69422,,1.6698
soy,S08P5,50,6333.791371,-22.68765445,70.04124767,9548.325143,2.964797801,1.7564
